name,idf,imdb_score,crit_score,genres,release,country,language,director,actors,summ
25th Hour 2002,https://www.imdb.com/title/tt0307901,7.6,68,['درام'],2002,['ایالات متحده'],['انگلیسی'],['Spike Lee'],"['Barry Pepper', 'Edward Norton', 'Philip Seymour Hoffman']",مونتگومری بروگان ، قاچاقچی مواد مخدر نیویورکی که توسط DEA قرار گرفته است ، زندگی خود را در 24 ساعت باقی مانده قبل از محکومیت به هفت سال زندان ، دوباره ارزیابی می کند.
300 2006,https://www.imdb.com/title/tt0416449,7.6,52,"['اکشن', 'درام']",2006,"['ایالات متحده', 'بلغارستان', 'کانادا']",['انگلیسی'],['Zack Snyder'],"['David Wenham', 'Gerard Butler', 'Lena Headey']",پادشاه لئونیداس اسپارت و نیروی 300 نفری در 480 قبل از میلاد در ترموپیل با ایرانیان می جنگند.
300 Rise of an Empire 2014,https://www.imdb.com/title/tt1253863,6.2,48,"['اکشن', 'درام']",2014,['ایالات متحده'],['انگلیسی'],['Noam Murro'],"['Eva Green', 'Lena Headey', 'Sullivan Stapleton']",ژنرال یونانی Themistokles از آتن ، فرماندهی نیروی دریایی علیه نیروهای متجاوز ایرانی را به رهبری خشایارشا و ارتمزیا ، فرمانده انتقام جوی نیروی دریایی ایران ، به عهده دارد.
365 Days 2020,https://www.imdb.com/title/tt10886166,3.2,,"['درام', 'عاشقانه']",2020,['لهستان'],"['انگلیسی', 'ایتالیایی', 'لهستانی']","['Barbara Bialowas', 'Tomasz Mandes']","['Anna Maria Sieklucka', 'Bronislaw Wroclawski', 'Michele Morrone']",ماسیمو یکی از اعضای خانواده مافیای سیسیلی و لورا مدیر فروش است. او انتظار ندارد که در سفری به سیسیل که سعی می کند رابطه اش را نجات دهد ، ماسیمو او را ربوده و به او 365 روز فرصت بدهد تا عاشق او شود.
365 Days This Day 2022,https://www.imdb.com/title/tt12996154,7.5,81,"['درام', 'عاشقانه']",2022,['لهستان'],"['انگلیسی', 'ایتالیایی', 'لهستانی']",['Barbara Bialowas'],"['Anna Maria Sieklucka', 'Magdalena Lamparska', 'Michele Morrone']","لورا و ماسیمو قوی تر از همیشه برگشته اند، اما اینبار روابط خانوادگی ماسیمو و مردی مرموز که برای قلب اش نقشه هایی کشیده یاعث می شود زندگی عاشقانه شان مورد آزمایشی سخت قرار گیرد و ...

"
39 Single Mother by Choice 2021,https://www.imdb.com/title/tt12643356,6.0,,"['جنگی', 'درام', 'زندگی نامه']",2021,[],[],['Dan Levy Dagerman'],"['Christy Carlson Romano', 'Selina Ringel', 'Vanessa Angel']",Singly Mother By Choice داستان یک زن مجرد و معتاد به کار را روایت می کند که تصمیم می گیرد با شرایط خودش بچه دار شود. اما وقتی دنیا سال غیرقابل تصور 2020 را در مسیر او قرار می دهد، واقعاً مجبور می شود بارداری را به تنهایی پشت سر بگذارد.
4 Months 3 Weeks and 2 Days 2007,https://www.imdb.com/title/tt1032846,7.9,97,['درام'],2007,"['بلژیک', 'رومانی']",['رومانیایی'],['Cristian Mungiu'],"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov']",زنی به دوستش در ترتیب دادن یک سقط جنین غیرقانونی در دهه 1980 رومانی کمک می کند.
5 to 7 2014,https://www.imdb.com/title/tt2486678,7.1,52,"['درام', 'عاشقانه', 'کمدی']",2014,['ایالات متحده'],['انگلیسی فرانسوی'],['Victor Levin'],"['Anton Yelchin', 'Bérénice Marlohe', 'Olivia Thirlby']",یک رمان نویس مشتاق با زنی وارد رابطه می شود ، اگرچه فقط یک مورد وجود دارد: او ازدواج کرده است و این زوج فقط می توانند هر روز بین ساعت 5 تا 7 ملاقات کنند.
55 Steps 2017,https://www.imdb.com/title/tt4459156,7,42,"['درام', 'زندگی نامه']",2017,"['آلمان', 'بلژیک']",['انگلیسی'],['Bille August'],"['Helena Bonham Carter', 'Hilary Swank', 'Johan Heldenbergh']",زمانی که کولت هیوز، وکیل حقوق بیماران، به ملاقات موکل جدیدش، النور ریس، بیمار در بخش روانپزشکی بیمارستانی در سانفرانسیسکو می رود، او نمی داند که علاوه بر انجام یک مبارزه حقوقی سخت برای بهبود درمان.
6 Souls 2010,https://www.imdb.com/title/tt1179069,6,28,"['ترسناک', 'معمایی', 'هیجان انگیز']",2010,['ایالات متحده'],['انگلیسی'],[],"['Jeffrey DeMunn', 'Jonathan Rhys Meyers', 'Julianne Moore']",یک روانپزشک قانونی متوجه می شود که همه شخصیت های چندگانه بیمارش به جز یکی، قربانیان قتل هستند. او باید قبل از تمام شدن وقتش بفهمد چه اتفاقی در حال رخ دادن است.
6 Underground 2019,https://www.imdb.com/title/tt8106534,6.1,41,"['اکشن', 'هیجان انگیز']",2019,['ایالات متحده'],"['انگلیسی', 'ترکمنی', 'کانتونی']",['Michael Bay'],"['Manuel Garcia-Rulfo', 'Mélanie Laurent', 'Ryan Reynolds']",شش نفر از سراسر جهان، که هر کدام در کاری که انجام می دهند بهترین هستند، نه تنها به دلیل مهارت خود، بلکه به دلیل تمایل منحصر به فرد برای حذف گذشته خود برای تغییر آینده انتخاب شده اند.
7 Prisioneiros 2021,https://www.imdb.com/title/tt14168118,7.8,79,['درام'],2021,['برزیل'],['پرتغالی'],['Alexandre Moratto'],"['Cecília Homem de Mello', 'Josias Duarte', 'Vitor Julian']",ماتئوس 18 ساله برای فراهم کردن زندگی بهتر برای خانواده اش در کشور، شغلی را در یک انبار زباله در سائوپائولو برای رئیس جدیدش، لوکا، می پذیرد، اما در دنیای خطرناک قاچاق انسان گرفتار می شود.
80 for Brady 2023,https://www.imdb.com/title/tt18079362,6.0,53,"['درام', 'کمدی', 'ورزشی']",2023,['ایالات متحده'],['انگلیسی'],['Kyle Marvin'],"['Jane Fonda', 'Lily Tomlin', 'Rita Moreno']",گروهی از دوستان ماموریت مادام العمر خود را برای رفتن به Super Bowl و ملاقات با فوق ستاره NFL تام بردی انجام دادند.
81st Golden Globe Awards 2024,https://www.imdb.com/title/,7.2,88,['مراسم تلویزیونی'],2024,['آمریکا'],['English'],['Glenn Weiss'],[],پیش‌بینی‌های جوایز گلدن گلوب برای برندگان شامل «باربی»، «اپنهایمر»، «تیلور سویفت: تور دوره‌ها»، اِما استون و ...
8MM 1999,https://www.imdb.com/title/tt0134273,6.5,19,"['جنایی', 'درام', 'معمایی']",1999,"['آلمان', 'ایالات متحده']",['انگلیسی'],['Joel Schumacher'],"['James Gandolfini', 'Joaquin Phoenix', 'Nicolas Cage']","یک بازپرس خصوصی استخدام می شود تا بفهمد ""فیلم اسنف"" معتبر است یا خیر."
9 Weeks 1986,https://www.imdb.com/title/tt0091635,5.9,50,"['درام', 'عاشقانه']",1986,['ایالات متحده'],"['اسپانیایی', 'انگلیسی']",['Adrian Lyne'],"['Kim Basinger', 'Margaret Whitton', 'Mickey Rourke']",یک زن با مردی که به سختی می شناسد درگیر می شود. عوارض در طول گریز جنسی آنها ایجاد می شود.
99 Moons 2022,https://www.imdb.com/title/tt13149356,6.3,,['درام'],2022,['سوئیس'],['آلمانی سوئیس'],['Jan Gassmann'],"['Danny Exnar', 'Dominik Fellmann', 'Valentina Di Pace']",بیگنا و فرانک دو نفر با افکار متفاوت هستند. هنگامی که جهان های مختلف آنها با هم برخورد می کنند، به طرز وسواس گونه ای درگیر یک رابطه پرشور می شوند.
A Burning Hot Summer 2011,https://www.imdb.com/title/tt1740053,5.1,62,['درام'],2011,"['ایتالیا', 'سوئیس', 'فرانسه']","['انگلیسی', 'ایتالیایی', 'فرانسوی']",['Philippe Garrel'],"['Louis Garrel', 'Monica Bellucci']",زمانی که زوج دیگری در تعطیلات رومی به آن‌ها می‌پیوندند، ازدواج شاد بین فردریک، نقاش غم‌انگیز و همسرش آنجل، ستاره سینما، به سنگ می‌خورد.
A California Christmas 2020,https://www.imdb.com/title/tt13055780,5.8,,"['درام', 'عاشقانه', 'کمدی']",2020,['ایالات متحده'],['انگلیسی'],['Shaun Paul Piccinino'],"['Ali Afshar', 'Josh Swickard', 'Lauren Swickard']",با یک شیوه زندگی بی دغدغه در راه ، یک افسونگر ثروتمند به عنوان یک دامدار ظاهر می شود تا یک کشاورز زحمتکش را وادار کند تا قبل از کریسمس زمین خانواده اش را بفروشد.
A Castle for Christmas 2021,https://www.imdb.com/title/tt13070602,7.5,,"['خانوادگی', 'کمدی', 'ماجراجویی']",2021,"['انگلستان', 'ایالات متحده']",['انگلیسی'],['Mary Lambert'],"['Brooke Shields', 'Cary Elwes', 'Vanessa Grasse']",برای فرار از یک رسوایی، یک نویسنده پرفروش به اسکاتلند سفر می کند، جایی که عاشق یک قلعه می شود - و با دوک بدخلق صاحب قلعه روبرو می شود.
A Chiara 2021,https://www.imdb.com/title/tt14324296,6.9,75,['درام'],2021,"['ایتالیا', 'فرانسه']",['ایتالیایی'],['Jonas Carpignano'],"['Claudio Rotolo', 'Pio Amato', 'Swamy Rotolo']",داستان کیارای 15 ساله ای را دنبال می کند که خانواده صمیمی اش پس از اینکه پدرش آنها را در کالابریا رها می کند از هم می پاشد.
A Deadly Place 2020,https://www.imdb.com/title/tt8097362,4.2,,['هیجان انگیز'],2020,['کانادا'],['انگلیسی'],['J.R. Giurissevich'],"['Cassandra Ebner', 'Douglas Chapman', 'Iain Belcher']",زنی پس از مرگ پدر به خانه باز می گردد تا با دوستان خانواده ملاقات کند و اسرار گذشته خود را مشاهده می کنند که با اقدامات مهلکی با آنها روبرو خواهد شد.
A Haunting in Venice 2023,https://www.imdb.com/title/tt22687790,6.8,88,"['ترسناک', 'جنایی', 'درام']",2023,"['انگلستان', 'ایالات متحده', 'ایتالیا']",['انگلیسی'],['Kenneth Branagh'],"['Jamie Dornan', 'Kenneth Branagh', 'Michelle Yeoh']",در ونیز پس از جنگ جهانی دوم، پوآرو که اکنون بازنشسته شده و در تبعید خود زندگی می کند، با اکراه در یک جلسه شرکت می کند. اما هنگامی که یکی از مهمانان به قتل می رسد، این به کارآگاه سابق بستگی دارد که یک بار دیگر قاتل را کشف کند.
A Hero 2021,https://www.imdb.com/title/tt11777738,7.2,81,"['درام', 'هیجان انگیز']",2021,"['ایران', 'فرانسه']",['فارسی'],['Asghar Farhadi'],"['Amir Jadidi', 'Sahar Goldust']",رحیم به دلیل بدهی که قادر به بازپرداخت آن نبود در زندان است. او در مرخصی دو روزه سعی می کند طلبکار خود را متقاعد کند که شکایت خود را از پرداخت بخشی از مبلغ پس بگیرد. اما همه چیز طبق برنامه پیش نمی رود.
A Hologram for the King 2016,https://www.imdb.com/title/tt2980210,6.1,58,"['درام', 'عاشقانه', 'کمدی']",2016,[],"['انگلیسی', 'عربی']",['Tom Tykwer'],"['Omar Elba', 'Sarita Choudhury', 'Tom Hanks']",
A House on the Bayou 2021,https://www.imdb.com/title/tt14405338,5.4,81,"['ترسناک', 'معمایی', 'هیجان انگیز']",2021,['ایالات متحده'],['انگلیسی'],['Alex McAulay'],"['Angela Sarafyan', 'Lia McHugh', 'Paul Schneider']",زوجی مشکل‌دار و دخترشان را دنبال می‌کند که برای تعطیلات به خانه‌ای منزوی در خلیج لوئیزیانا می‌روند تا دوباره به‌عنوان یک خانواده به هم متصل شوند. اما وقتی بازدیدکنندگان غیرمنتظره وارد می‌شوند، وحدت شروع به از بین رفتن می‌کند.
A Journal for Jordan 2021,https://www.imdb.com/title/tt0995854,6.3,42,['درام'],2021,['ایالات متحده'],['انگلیسی'],['Denzel Washington'],"['Jalon Christian', 'Michael B. Jordan']",گروهبان 1 چارلز مونرو کینگ، قبل از اینکه در بغداد کشته شود، مجله ای برای پسرش می نویسد که به او بگوید با وجود بزرگ شدن بدون پدر چگونه زندگی شایسته ای داشته باشد.
A Little Bit of Heaven 2011,https://www.imdb.com/title/tt1440161,6.2,14,"['درام', 'فانتزی', 'کمدی']",2011,['ایالات متحده'],['انگلیسی'],['Nicole Kassell'],"['Gael García Bernal', 'Kate Hudson', 'Kathy Bates']",زن جوان بی‌احترامی که از شوخ طبعی خود برای جلوگیری از جدی شدن مسائل استفاده می‌کند، با پزشکش ملاقات می‌کند که زندگی را تغییر می‌دهد.
A Man Called Otto 2022,https://www.imdb.com/title/tt7405458,7.6,51,"['درام', 'کمدی']",2022,"['ایالات متحده آمریکا', 'سوئد']","['اسپانیایی', 'انگلیسی']",['Marc Forster'],"['Mariana Treviño', 'Rachel Keller', 'Tom Hanks']",اتو یک بدخلق است که پس از از دست دادن همسرش از زندگی دست کشیده و می خواهد به همه چیز پایان دهد. هنگامی که یک خانواده جوان در همان نزدیکی نقل مکان می کنند، او همتای خود را در ماریسول تیز هوش ملاقات می کند که منجر به دوستی می شود که دنیای او را تغییر می دهد.
A Menina que Matou os Pais 2021,https://www.imdb.com/title/tt10605812,6.3,,"['جنایی', 'درام', 'هیجان انگیز']",2021,['برزیل'],['پرتغالی'],['Mauricio Eça'],"['Carla Diaz', 'Gabi Lopes', 'Leonardo Medeiros']",یک تریلر روانشناختی پیرامون قتلهای واقعی مانفرد و مارسیا فون ریختوفن که توسط دختر خودشان ، سوزان ، و دوست پسر و برادر شوهرش ، برادران کراوینوس ، تنظیم شده است.
A Mighty Heart 2007,https://www.imdb.com/title/tt0829459,6.6,74,"['تاریخی', 'درام', 'زندگی نامه']",2007,"['انگلستان', 'ایالات متحده']","['اردو', 'انگلیسی', 'فرانسوی']",['Michael Winterbottom'],"['Angelina Jolie', 'Dan Futterman', 'Irrfan Khan']",ماریان مروارید جستجوی دیوانه واری را برای یافتن همسر روزنامه نگار خود ، دانیل ، هنگام مفقود شدن در پاکستان آغاز می کند.
A Murder to Remember 2020,https://www.imdb.com/title/tt12032280,5.1,,['هیجان انگیز'],2020,['ایالات متحده آمریکا'],['انگلیسی'],['Robin Givens'],"['Carolyn McCormick', 'Leslie Hendrix', 'Maddie Nichols', 'T.C. Matherne']",زوجی که سفر یکساله کمپینگ آنها برای شوهر کشنده است و همسر را در بیابان تنها می گذارد. هنگامی که او از یک کمپینگ دیگر کمک می پذیرد ، در نهایت جان خود را به دست او می سپارد.
A Nice Girl Like You 2020,https://www.imdb.com/title/tt3278540,5.1,41,"['عاشقانه', 'کمدی']",2020,['ایالات متحده'],['انگلیسی'],"['Chris Riedell', 'Nick Riedell']","['Jackie Cruz', 'Lucy Hale', 'Stormi Maya']",پس از اینکه متهم شد که دوست پسر سابقش او را بیش از حد مهار کرده است ، یک لیست کارهای وحشیانه ایجاد می کند که او را به یک سفر گردابی برای کشف خود می فرستد.
A Perfect Ending 2012,https://www.imdb.com/title/tt1823059,5.7,,"['درام', 'عاشقانه']",2012,['ایالات متحده'],['انگلیسی'],['Nicole Conn'],"['Barbara Niven', 'Bryan Mordechai Jackson', 'Jessica Clark']",ربکا یک راز بسیار غیر معمول دارد ، رازی که حتی بهترین دوستانش از آن اطلاع ندارند. آخرین فردی که روی زمین انتظار دارد او را فاش کند ، یک اسکورت با قیمت بالا به نام پاریس است.
A Reason to Live 2011,https://www.imdb.com/title/tt2085883,6.2,,['درام'],2011,['کره جنوبی'],['کره ای'],['Jeong-hyang Lee'],"['Chang-ui Song', 'Nam Ji-Hyun', 'Song Hye-Kyo']",یک تهیه کننده زن نامزد خود را در یک تصادف از دست می دهد و در صف درگیری قرار می گیرد.
A Royal Affair 2012,https://www.imdb.com/title/tt1276419,7.5,73,"['تاریخی', 'درام', 'زندگی نامه']",2012,"['جمهوری چک', 'دانمارک', 'سوئد']","['آلمانی', 'انگلیسی', 'دانمارکی']",['Nikolaj Arcel'],"['Alicia Vikander', 'Mads Mikkelsen', 'Mikkel Boe Følsgaard']",یک ملکه جوان، که با یک پادشاه دیوانه ازدواج کرده است، مخفیانه عاشق پزشک خود می شود - و با هم انقلابی را آغاز می کنند که یک ملت را برای همیشه تغییر می دهد.
A Star Is Born 2018,https://www.imdb.com/title/tt1517451,7.6,88,"['درام', 'عاشقانه', 'موسیقی']",2018,['ایالات متحده'],['انگلیسی فرانسوی'],['Bradley Cooper'],"['Bradley Cooper', 'Lady Gaga', 'Sam Elliott']",یک نوازنده به یک خواننده جوان کمک می کند تا با بالا رفتن سن و اعتیاد به الکل، حرفه خود را به سمت مارپیچ رو به پایین سوق دهد.
A Thousand and One 2023,https://www.imdb.com/title/tt12427158,7.5,80,"['جنایی', 'درام']",2023,['ایالات متحده'],['انگلیسی'],['A.V. Rockwell'],"['Aaron Kingsley Adetola', 'Aven Courtney', 'Teyana Taylor']",پس از اینکه اینز بی عذرخواهی و به شدت وفادار پسرش تری را از سیستم نگهداری می رباید، مادر و پسر تصمیم گرفتند تا حس خانه، هویت و ثبات خود را در شهر نیویورک که به سرعت در حال تغییر است، بازیابند.
A un Paso de Mí 2021,https://www.imdb.com/title/tt11859518,7.3,,"['درام', 'ماجراجویی']",2021,['کاستاریکا'],['اسپانیایی'],['Jose Mario Salas Boza'],"['Esteban Hidalgo', 'Gustavo Rojas', 'Johanna Solano']",تاتیانا (یوهانا سولانو) روزنامه نگاری است که زندگی عادی در همه جنبه هایش دارد و اخیراً در یک رابطه عاشقانه ناموفق شکست خورده است. او با انگیزه بهترین دوستش تصمیم می گیرد توقف کرده و در اطراف کاستاریکا سفر کند تا خود و افراد درون خود را پیدا کند.
A Werewolf in England 2020,https://www.imdb.com/title/tt11924476,4.5,,"['ترسناک', 'کمدی']",2020,['انگلستان'],['انگلیسی'],['Charlie Steeds'],"['Natalie Martins', 'Reece Connolly', 'Tim Cartwright']",یک مشاور محله و یک جنایتکار به یک مسافرخانه دورافتاده در حومه شهر پناه می برند ، غافل از اینکه گرگ های گرسنه گوشتی در جنگل های اطراف ساکن هستند و آماده تغذیه هستند.
A Witness Out of the Blue 2019,https://www.imdb.com/title/tt11076480,6.1,81,"['جنایی', 'معمایی', 'هیجان انگیز']",2019,['هنگ کنگ'],['کانتونی'],['Chi-Keung Fung'],"['Jessica Hester Hsuan', 'Louis Cheung', 'Louis Koo']",سه ماه پس از سرقت در یک جواهرفروشی، یکی از مجرمان به قتل رسیده در حالی که جنایتکار مغز متفکر شان وانگ پس از ناپدید شدن غارت مظنون اصلی می شود و تنها شاهد یک طوطی سخنگو است.
Abandoned 2022,https://www.imdb.com/title/tt2980152,3.7,81,['ترسناک'],2022,['ایالات متحده'],['انگلیسی'],['Spencer Squire'],"['Emma Roberts', 'John Gallagher Jr.', 'Michael Shannon']",پس از اینکه یک زوج جوان به همراه پسر شیرخوار خود به یک خانه مزرعه دورافتاده نقل مکان می کنند، مبارزه زن با روان پریشی پس از زایمان تشدید می شود... همانطور که خانه اسرار خودش را فاش می کند.
About Dry Grasses 2023,https://www.imdb.com/title/tt13231544,8.1,80,['درام'],2023,"['آلمان', 'ترکیه', 'فرانسه']",['ترکی'],['Nuri Bilge Ceylan'],"['Deniz Celiloglu', 'Merve Dizdar', 'Musab Ekici']",معلم جوانی امیدوار است پس از چهار سال خدمت اجباری در روستایی دورافتاده به استانبول منتقل شود، اما دو دانش آموز به تماس نامناسب متهم می شوند. پس از از دست دادن امید، یک همکار به او دیدگاه های جدیدی در مورد ...
Above Suspicion 2019,https://www.imdb.com/title/tt5688068,5.6,46,"['اکشن', 'جنایی', 'زندگی نامه']",2019,['ایالات متحده'],['انگلیسی'],['Phillip Noyce'],"['Emilia Clarke', 'Jack Huston', 'Sophie Lowe']",داستان جنایی واقعی که منجر به اولین محکومیت یک F.B.I می شود. مامور قتل
Accused 2023,https://www.imdb.com/title/tt12648266,6.4,88,['هیجان انگیز'],2023,['انگلستان'],['انگلیسی'],['Philip Barantini'],"['Chaneil Kular', 'Frances Tomelty', 'Nitin Ganatra']",پس از اینکه یک جامعه وسواس انتقام‌جویانه هدف بعدی خود را به اشتباه انتخاب می‌کند، یک مرد جوان باید شب زنده بماند، زیرا شکار جادوگران آنلاین به درب ورودی او می‌رسد.
Adam by Eve A Live in Animation 2022,https://www.imdb.com/title/tt18274178,6.2,,"['انیمیشن', 'موسیقی']",2022,['ژاپن'],['ژاپنی'],['Nobutaka Yoda'],"['Ano', 'Eve', 'Hanon']",انیمه، اکشن زنده و موسیقی توسط هنرمند پیشرو ایو - همه با هم به این تجربه صوتی رویایی الهام گرفته از داستان آدم و حوا می پیوندند.
Addicted 2014,https://www.imdb.com/title/tt2205401,5.1,32,"['درام', 'هیجان انگیز']",2014,['ایالات متحده'],"['اسپانیایی', 'انگلیسی']",['Bille Woodruff'],"['Boris Kodjoe', 'John Newberg', 'Sharon Leal']",هنگامی که با یک نقاش با استعداد وارد رابطه می شود و به آرامی کنترل زندگی خود را از دست می دهد ، یک گالریست خانواده و حرفه شکوفایی خود را به خطر می اندازد.
Adele One Night Only 2021,https://www.imdb.com/title/,7.6,,['مستند'],2021,['امریکا'],[],['Paul Dugdale'],['Adele'],در این برنامه ویژه «ادل ادکینز» در کنار مصاحبه با «اپرا وینفری» تعدادی از قطعه های آلبوم جدید خود 30 را در کنار بهترین قطعات آلبوم های قبلی خود اجرا می‌کند.
Adrift 2018,https://www.imdb.com/title/tt6306064,6.6,56,"['اکشن', 'زندگی نامه', 'ماجراجویی']",2018,"['ایالات متحده آمریکا', 'ایسلند', 'هنگ کنگ']",['انگلیسی فرانسوی'],['Baltasar Kormákur'],"['Jeffrey Thomas', 'Sam Claflin', 'Shailene Woodley']",داستان واقعی زنده ماندن، به عنوان یک برخورد تصادفی یک زوج جوان آنها را ابتدا به سمت عشق و سپس در ماجراجویی یک عمر سوق می دهد، زیرا با یکی از فاجعه بارترین طوفان های ثبت شده در تاریخ روبرو می شوند.
Adult Life Skills 2016,https://www.imdb.com/title/tt4211044,6.3,49,"['درام', 'کمدی']",2016,"['انگلستان', 'سوئد']",['انگلیسی'],['Rachel Tunnard'],"['Brett Goldstein', 'Jodie Whittaker', 'Lorraine Ashbourne']","آنا (جودی ویتاکر) راحت در حیاط مادرش زندگی می کند و تمام روز فیلم های خنده دار تهیه می کند ، اما با رسیدن به سن 30 سالگی ، او فشار را برای ادامه کار و ""بزرگ شدن"" بدون آسیب رساندن به روحیه جوانی خود احساس می کند."
Aeon Flux 2005,https://www.imdb.com/title/tt0402022,5.5,36,"['اکشن', 'علمی-تخیلی', 'ماجراجویی']",2005,"['آلمان', 'ایالات متحده', 'برزیل']",['انگلیسی'],['Karyn Kusama'],"['Charlize Theron', 'Frances McDormand', 'Sophie Okonedo']",Aeon Flux یک قاتل مرموز است که برای گروه مونیکان کار می کند ، گروهی از شورشیان که سعی در سرنگونی دولت دارند. هنگامی که او برای مأموریت برای کشتن رئیس اعزام می شود ، یک معمای جدید پیدا می شود.
Afire 2023,https://www.imdb.com/title/tt26440619,7.6,85,"['درام', 'عاشقانه', 'کمدی']",2023,['آلمان'],['آلمانی'],['Christian Petzold'],"['Enno Trebs', 'Paula Beer', 'Thomas Schubert']",گروهی از دوستان در یک خانه تعطیلات در کنار دریای بالتیک که در آن با آتش گرفتن جنگل خشک اطراف آنها احساسات اوج می گیرد.
